date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:49	22822/22822	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:48%20GMT	http://www.w3schools.com/xml/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xml/default.html	(from )
09:55:50	18592/18592	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:49%20GMT	http://www.w3schools.com/dtd/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/dtd/default.html	(from )
09:55:51	22331/22331	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:50%20GMT	http://www.w3schools.com/dom/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/dom/default.html	(from )
09:55:52	22583/22583	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:51%20GMT	http://www.w3schools.com/xsl/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xsl/default.html	(from )
09:55:53	19090/19090	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:52%20GMT	http://www.w3schools.com/xpath/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xpath/default.html	(from )
09:55:55	18580/18580	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:53%20GMT	http://www.w3schools.com/xquery/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xquery/default.html	(from )
09:55:56	19916/19916	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:54%20GMT	http://www.w3schools.com/xlink/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xlink/default.html	(from )
09:55:57	20658/20658	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:56%20GMT	http://www.w3schools.com/schema/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/schema/default.html	(from )
09:55:58	20942/20942	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:57%20GMT	http://www.w3schools.com/xslfo/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xslfo/default.html	(from )
09:55:59	19909/19909	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:58%20GMT	http://www.w3schools.com/svg/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/svg/default.html	(from )
09:56:00	18361/18361	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:25:59%20GMT	http://www.w3schools.com/webservices/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/webservices/default.html	(from )
09:56:01	18394/18394	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:00%20GMT	http://www.w3schools.com/wsdl/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/wsdl/default.html	(from )
09:56:03	20351/20351	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:01%20GMT	http://www.w3schools.com/soap/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/soap/default.html	(from )
09:56:04	19197/19197	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:02%20GMT	http://www.w3schools.com/rss/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/rss/default.html	(from )
09:56:05	18537/18537	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:03%20GMT	http://www.w3schools.com/rdf/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/rdf/default.html	(from )
09:56:06	19834/19834	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:05%20GMT	http://www.w3schools.com/web/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/web/default.html	(from )
